1.300000000000000000e+01,2.140737152099609375e+01,1.900000000000000000e+01
1.100000000000000000e+01,2.130635452270507812e+01,1.200000000000000000e+01
1.300000000000000000e+01,2.259661102294921875e+01,1.400000000000000000e+01
1.600000000000000000e+01,2.241380500793457031e+01,1.500000000000000000e+01
1.400000000000000000e+01,2.207835388183593750e+01,1.500000000000000000e+01
1.400000000000000000e+01,2.082358169555664062e+01,1.500000000000000000e+01
1.500000000000000000e+01,2.194449043273925781e+01,1.800000000000000000e+01
1.600000000000000000e+01,2.100260734558105469e+01,1.300000000000000000e+01
1.500000000000000000e+01,2.230126953125000000e+01,1.800000000000000000e+01
1.600000000000000000e+01,2.044600868225097656e+01,1.200000000000000000e+01
1.500000000000000000e+01,2.235766410827636719e+01,1.700000000000000000e+01
1.300000000000000000e+01,2.284962272644042969e+01,1.300000000000000000e+01
1.800000000000000000e+01,2.355530548095703125e+01,1.500000000000000000e+01
1.600000000000000000e+01,2.274446487426757812e+01,1.400000000000000000e+01
2.000000000000000000e+01,2.443099975585937500e+01,1.400000000000000000e+01
2.000000000000000000e+01,2.145828437805175781e+01,1.100000000000000000e+01
2.500000000000000000e+01,2.724095916748046875e+01,1.300000000000000000e+01
2.300000000000000000e+01,2.617587661743164062e+01,1.400000000000000000e+01
2.500000000000000000e+01,2.915189743041992188e+01,1.500000000000000000e+01
3.100000000000000000e+01,2.751228713989257812e+01,1.300000000000000000e+01
3.100000000000000000e+01,2.843845939636230469e+01,1.000000000000000000e+01
2.200000000000000000e+01,2.796914291381835938e+01,1.300000000000000000e+01
3.800000000000000000e+01,2.961790466308593750e+01,1.700000000000000000e+01
4.000000000000000000e+01,2.832385253906250000e+01,1.500000000000000000e+01
4.500000000000000000e+01,2.967305564880371094e+01,1.900000000000000000e+01
4.600000000000000000e+01,2.816596221923828125e+01,2.100000000000000000e+01
5.200000000000000000e+01,2.852235031127929688e+01,1.800000000000000000e+01
4.600000000000000000e+01,2.666399383544921875e+01,1.800000000000000000e+01
4.900000000000000000e+01,2.798639678955078125e+01,1.700000000000000000e+01
3.700000000000000000e+01,2.683408164978027344e+01,1.500000000000000000e+01
4.100000000000000000e+01,2.615756988525390625e+01,1.700000000000000000e+01
3.800000000000000000e+01,2.538602638244628906e+01,1.700000000000000000e+01
4.400000000000000000e+01,2.627198028564453125e+01,1.500000000000000000e+01
4.600000000000000000e+01,2.628172683715820312e+01,2.500000000000000000e+01
5.500000000000000000e+01,2.711115074157714844e+01,2.400000000000000000e+01
6.600000000000000000e+01,2.552721405029296875e+01,2.600000000000000000e+01
6.200000000000000000e+01,2.708549118041992188e+01,2.300000000000000000e+01
6.000000000000000000e+01,2.537370872497558594e+01,2.100000000000000000e+01
6.900000000000000000e+01,2.253276252746582031e+01,1.500000000000000000e+01
5.600000000000000000e+01,2.268192481994628906e+01,1.400000000000000000e+01
5.800000000000000000e+01,2.255494689941406250e+01,1.300000000000000000e+01
5.100000000000000000e+01,2.191174507141113281e+01,1.100000000000000000e+01
4.600000000000000000e+01,2.223060989379882812e+01,1.100000000000000000e+01
4.300000000000000000e+01,2.229824447631835938e+01,1.200000000000000000e+01
3.400000000000000000e+01,2.149008750915527344e+01,1.000000000000000000e+01
3.500000000000000000e+01,2.196082496643066406e+01,1.000000000000000000e+01
3.300000000000000000e+01,2.258125114440917969e+01,9.000000000000000000e+00
3.200000000000000000e+01,2.191370582580566406e+01,1.300000000000000000e+01
