8.000000000000000000e+00,1.510963821411132812e+01,1.400000000000000000e+01
7.000000000000000000e+00,1.469627094268798828e+01,8.000000000000000000e+00
9.000000000000000000e+00,1.460254669189453125e+01,1.100000000000000000e+01
9.000000000000000000e+00,1.505216884613037109e+01,1.100000000000000000e+01
9.000000000000000000e+00,1.523514461517333984e+01,1.000000000000000000e+01
9.000000000000000000e+00,1.542797470092773438e+01,1.100000000000000000e+01
1.000000000000000000e+01,1.487681102752685547e+01,1.100000000000000000e+01
1.000000000000000000e+01,1.402986431121826172e+01,1.000000000000000000e+01
1.000000000000000000e+01,1.365278244018554688e+01,1.200000000000000000e+01
1.000000000000000000e+01,1.536430358886718750e+01,8.000000000000000000e+00
9.000000000000000000e+00,1.495042228698730469e+01,1.100000000000000000e+01
1.000000000000000000e+01,1.521479988098144531e+01,9.000000000000000000e+00
1.200000000000000000e+01,1.646531486511230469e+01,9.000000000000000000e+00
1.000000000000000000e+01,1.553102493286132812e+01,1.000000000000000000e+01
1.400000000000000000e+01,1.604516029357910156e+01,1.100000000000000000e+01
1.300000000000000000e+01,1.575720310211181641e+01,9.000000000000000000e+00
1.600000000000000000e+01,1.804287338256835938e+01,9.000000000000000000e+00
1.400000000000000000e+01,1.965420341491699219e+01,9.000000000000000000e+00
1.600000000000000000e+01,2.158250236511230469e+01,1.100000000000000000e+01
1.600000000000000000e+01,2.055390167236328125e+01,8.000000000000000000e+00
1.800000000000000000e+01,2.097207641601562500e+01,8.000000000000000000e+00
1.500000000000000000e+01,2.058909797668457031e+01,9.000000000000000000e+00
2.200000000000000000e+01,2.120299911499023438e+01,1.100000000000000000e+01
2.300000000000000000e+01,2.013461112976074219e+01,1.000000000000000000e+01
2.300000000000000000e+01,2.262304878234863281e+01,1.400000000000000000e+01
2.600000000000000000e+01,2.178314399719238281e+01,1.500000000000000000e+01
3.200000000000000000e+01,2.277012252807617188e+01,1.200000000000000000e+01
2.700000000000000000e+01,1.893332290649414062e+01,1.200000000000000000e+01
2.800000000000000000e+01,2.055290412902832031e+01,1.100000000000000000e+01
2.300000000000000000e+01,1.889592361450195312e+01,1.100000000000000000e+01
2.500000000000000000e+01,1.900389099121093750e+01,9.000000000000000000e+00
2.600000000000000000e+01,1.840242767333984375e+01,1.000000000000000000e+01
2.600000000000000000e+01,1.811815261840820312e+01,1.000000000000000000e+01
3.000000000000000000e+01,1.900264549255371094e+01,1.400000000000000000e+01
3.700000000000000000e+01,1.910333633422851562e+01,1.600000000000000000e+01
3.900000000000000000e+01,1.876287841796875000e+01,1.700000000000000000e+01
3.800000000000000000e+01,1.862253189086914062e+01,1.600000000000000000e+01
3.400000000000000000e+01,1.890187835693359375e+01,1.300000000000000000e+01
3.600000000000000000e+01,1.591766357421875000e+01,1.000000000000000000e+01
3.300000000000000000e+01,1.648347091674804688e+01,1.000000000000000000e+01
3.300000000000000000e+01,1.607660293579101562e+01,8.000000000000000000e+00
3.100000000000000000e+01,1.466792964935302734e+01,8.000000000000000000e+00
2.700000000000000000e+01,1.511829090118408203e+01,8.000000000000000000e+00
2.700000000000000000e+01,1.515897560119628906e+01,8.000000000000000000e+00
2.500000000000000000e+01,1.609298515319824219e+01,6.000000000000000000e+00
2.200000000000000000e+01,1.457216358184814453e+01,7.000000000000000000e+00
2.100000000000000000e+01,1.559697628021240234e+01,6.000000000000000000e+00
2.100000000000000000e+01,1.563102245330810547e+01,9.000000000000000000e+00
